MSSubClass,LotFrontage,LotArea,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtQual,BsmtFinType1,TotalBsmtSF,HeatingQC,GrLivArea,BsmtFullBath,FullBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,MoSold,YrSold,SalePrice,outdoorAreaSF
60,90.41860465,18800,NWAmes,2Story,6,5,1976,HdBoard,HdBoard,BrkFace,120,PConc,Gd,GLQ,796,TA,1574,1,2,3,TA,6,1,TA,Attchd,Fin,2,566,7,2006,190000,417
70,59,10690,IDOTRR,2Story,5,7,1920,VinylSd,VinylSd,None,0,CBlock,TA,Rec,672,Gd,1344,0,1,3,TA,6,0,none,Detchd,Unf,1,468,7,2009,147000,346
20,90.41860465,9500,NAmes,1Story,6,5,1963,Plywood,Plywood,BrkFace,247,CBlock,Gd,BLQ,1394,Gd,1394,1,1,3,TA,6,2,Gd,Attchd,RFn,2,514,7,2009,159000,261
80,101,9150,NAmes,SLvl,6,5,1962,Plywood,Plywood,BrkFace,305,CBlock,Gd,GLQ,1099,Gd,1431,0,1,3,TA,6,1,Gd,Basment,RFn,1,296,12,2008,165000,174
20,78,7800,NAmes,1Story,5,6,1954,HdBoard,HdBoard,BrkFace,200,PConc,TA,LwQ,1268,Gd,1268,0,1,2,TA,7,1,Gd,Attchd,Fin,1,244,3,2010,132000,98
20,90.41860465,9830,NAmes,1Story,5,7,1959,Wd Sdng,Wd Sdng,None,0,CBlock,TA,ALQ,1063,Ex,1287,1,1,3,Gd,7,1,Gd,Detchd,Fin,2,576,3,2010,162000,563
60,90.41860465,8121,Gilbert,2Story,6,5,2000,VinylSd,VinylSd,None,0,PConc,Gd,Unf,953,Ex,1664,0,2,3,TA,7,1,TA,Attchd,RFn,2,460,1,2006,172400,140
120,50,7175,SawyerW,1Story,6,5,1984,Plywood,Plywood,None,0,CBlock,Gd,ALQ,744,TA,752,1,1,2,TA,4,0,none,Attchd,Unf,1,264,2,2010,125000,443
20,79,10634,NAmes,1Story,5,6,1953,MetalSd,MetalSd,None,0,PConc,TA,BLQ,608,TA,1319,1,1,3,TA,5,0,none,Attchd,Unf,1,270,11,2009,123000,66
60,65,8200,CollgCr,2Story,7,5,2003,VinylSd,VinylSd,None,0,PConc,Gd,Unf,847,Ex,1928,0,2,4,Gd,8,1,Gd,BuiltIn,Fin,2,434,7,2007,219500,148
30,90.72093023,10020,Edwards,1Story,1,1,1922,Wd Sdng,Wd Sdng,None,0,BrkTil,Fa,BLQ,683,Gd,904,1,0,1,Fa,4,0,none,none,none,0,0,3,2009,61000,0
85,57,8846,CollgCr,SFoyer,5,5,1996,VinylSd,VinylSd,None,0,PConc,Gd,GLQ,870,Ex,914,0,1,2,TA,5,0,none,Detchd,Unf,2,576,7,2006,148000,0
60,102,11143,Somerst,2Story,8,5,2004,CemntBd,CmentBd,None,0,PConc,Gd,Unf,1580,Ex,2466,0,3,4,Gd,8,1,Gd,Attchd,RFn,2,610,12,2007,340000,373
20,88,11394,StoneBr,1Story,9,2,2010,VinylSd,VinylSd,Stone,350,PConc,Ex,GLQ,1856,Ex,1856,1,1,1,Ex,8,1,Ex,Attchd,Fin,3,834,6,2010,394432,113
60,60,8123,Gilbert,2Story,6,5,2000,VinylSd,VinylSd,BrkFace,16,PConc,Gd,Unf,982,Ex,1800,0,2,3,TA,7,1,TA,Attchd,Fin,2,463,6,2009,179000,163
50,50,5000,SWISU,1.5Fin,5,6,1924,BrkFace,Wd Sdng,None,0,BrkTil,TA,LwQ,1026,TA,1691,0,2,3,Gd,6,1,Gd,Detchd,Unf,1,308,5,2010,127000,242
20,60,7200,Somerst,1Story,7,5,2006,VinylSd,VinylSd,None,0,PConc,Gd,Unf,1293,Ex,1301,1,2,2,Gd,5,1,Gd,Attchd,RFn,2,572,8,2006,187750,337
60,79,9245,CollgCr,2Story,7,5,2006,VinylSd,VinylSd,None,0,PConc,Gd,Unf,939,Ex,1797,0,2,3,Gd,8,0,none,Attchd,RFn,2,639,4,2007,213500,197
45,60,9000,SawyerW,1.5Unf,6,3,1928,Wd Sdng,Wd Sdng,None,0,BrkTil,Fa,Unf,784,TA,784,0,1,2,TA,5,0,none,Detchd,Unf,2,360,10,2009,76000,91
60,90.18604651,53107,ClearCr,2Story,6,5,1992,HdBoard,HdBoard,None,0,PConc,Gd,GLQ,1580,Ex,1953,1,2,3,Gd,9,2,Fa,Attchd,Fin,2,501,6,2007,240000,447
120,43,3182,Blmngtn,1Story,8,5,2004,VinylSd,VinylSd,BrkFace,16,PConc,Gd,GLQ,1256,Ex,1269,0,2,2,Gd,6,1,TA,Attchd,Fin,2,430,4,2010,192000,310
50,58,8410,Edwards,1.5Fin,5,3,1910,Wd Sdng,VinylSd,None,0,PConc,TA,Unf,658,TA,1184,0,1,5,TA,8,0,none,none,none,0,0,5,2006,81000,151
80,72,7200,Edwards,SLvl,6,6,1976,MetalSd,MetalSd,BrkFace,255,CBlock,TA,ALQ,1041,Ex,1125,1,1,3,TA,6,1,Fa,Detchd,Unf,1,352,10,2009,125000,296
20,93,9382,CollgCr,1Story,7,5,1999,VinylSd,VinylSd,BrkFace,125,PConc,Gd,Unf,1468,Ex,1479,0,2,3,Gd,6,0,none,Attchd,RFn,2,577,7,2008,191000,145
60,96,12474,NridgHt,2Story,10,5,2007,VinylSd,VinylSd,Stone,272,PConc,Ex,GLQ,1682,Ex,2332,1,2,3,Ex,9,1,Ex,BuiltIn,Fin,3,846,8,2008,426000,330
50,50,8405,Edwards,1.5Fin,5,8,1900,MetalSd,MetalSd,None,0,BrkTil,TA,Rec,861,Ex,1367,1,1,4,TA,7,0,none,Detchd,Unf,1,384,4,2008,119000,242
60,71,12209,Mitchel,2Story,6,5,2001,VinylSd,VinylSd,None,0,PConc,Ex,ALQ,804,Ex,1961,1,2,3,Gd,7,1,TA,BuiltIn,Fin,2,560,6,2009,215000,317
30,90.41860465,7446,BrkSide,1Story,4,5,1941,WdShing,Wd Shng,None,0,CBlock,TA,Rec,788,TA,788,0,1,2,TA,4,2,TA,none,none,0,0,4,2006,100000,0
50,60,10134,OldTown,1.5Fin,5,6,1940,MetalSd,MetalSd,None,0,CBlock,TA,Unf,735,Gd,1034,0,1,2,TA,5,0,none,Detchd,Unf,1,240,7,2007,109000,39
20,68,9571,Edwards,1Story,5,6,1956,Wd Sdng,Wd Sdng,None,0,CBlock,TA,BLQ,1144,TA,1144,1,1,3,TA,6,0,none,Attchd,Unf,1,596,6,2010,129000,44
20,60,7200,CollgCr,1Story,5,5,1972,MetalSd,MetalSd,None,0,CBlock,TA,Rec,894,TA,894,0,1,2,TA,6,0,none,Detchd,RFn,2,600,9,2009,123000,215
60,69,7590,NAmes,2Story,5,5,1962,VinylSd,VinylSd,BrkFace,288,CBlock,TA,ALQ,864,TA,1812,0,2,4,TA,8,1,TA,Attchd,RFn,1,264,7,2007,169500,168
30,60,8967,IDOTRR,1Story,5,2,1920,MetalSd,MetalSd,None,0,BrkTil,Fa,Unf,961,Gd,1077,0,1,2,TA,6,0,none,Detchd,Unf,1,338,11,2007,67000,0
60,65,8125,Somerst,2Story,7,5,2006,CemntBd,CmentBd,Stone,100,PConc,Gd,GLQ,1092,Ex,1550,1,2,2,Gd,7,0,none,Attchd,Fin,2,438,10,2009,241000,168
120,38,14963,Veenker,1Story,8,5,1996,BrkFace,BrkFace,None,0,PConc,Gd,GLQ,1260,Ex,1288,1,1,1,Ex,4,2,Gd,Attchd,Fin,2,500,12,2008,245500,374
20,65,8767,CollgCr,1Story,7,5,2005,VinylSd,VinylSd,None,0,PConc,Gd,GLQ,1310,Ex,1310,0,2,3,Gd,6,1,Gd,Attchd,Fin,2,400,7,2006,164990,0
30,60,10200,Sawyer,1Story,5,8,1940,Wd Sdng,Wd Sdng,None,0,PConc,TA,Unf,672,Ex,672,0,1,2,TA,4,0,none,Detchd,Unf,1,240,8,2008,108000,168
60,93,12090,NoRidge,2Story,8,5,1998,VinylSd,VinylSd,BrkFace,650,PConc,Gd,Unf,1141,Gd,2263,0,2,4,Gd,10,1,TA,BuiltIn,Fin,2,420,7,2006,258000,267
60,90.41860465,10364,Gilbert,2Story,6,5,1995,MetalSd,MetalSd,None,0,PConc,Gd,Unf,806,Gd,1572,0,2,3,TA,7,1,TA,BuiltIn,Fin,2,373,5,2007,168000,40
20,90.41860465,9991,Sawyer,1Story,4,4,1976,Plywood,Plywood,None,0,CBlock,TA,BLQ,1281,Ex,1620,1,2,3,TA,8,1,TA,Attchd,Unf,2,490,6,2009,150000,198
50,51,10480,SWISU,1.5Fin,6,5,1936,MetalSd,MetalSd,None,0,BrkTil,TA,Unf,1064,Ex,1639,0,1,3,TA,6,0,none,Detchd,Unf,1,240,3,2008,115000,0
70,63,15576,Crawfor,2Story,6,7,1915,Wd Sdng,Plywood,None,0,BrkTil,Gd,Unf,840,Ex,1680,0,2,4,TA,8,0,none,Attchd,Unf,1,308,3,2008,177000,160
60,109,14154,NridgHt,2Story,7,5,2006,VinylSd,VinylSd,BrkFace,350,PConc,Ex,Unf,1063,Ex,2172,0,2,3,Gd,9,1,Gd,Attchd,RFn,3,947,8,2007,280000,254
60,85,10800,Somerst,2Story,8,5,2007,VinylSd,VinylSd,Stone,100,PConc,Ex,GLQ,1034,Ex,2078,1,2,3,Ex,8,1,Gd,Attchd,Fin,3,836,4,2008,339750,102
20,68,9571,Edwards,1Story,5,3,1958,BrkComm,Brk Cmn,None,0,CBlock,TA,Unf,1276,TA,1276,0,1,3,TA,5,0,none,Attchd,Unf,1,350,6,2009,60000,0
190,100,34650,Gilbert,1Story,5,5,1955,Wd Sdng,Wd Sdng,None,0,CBlock,TA,Rec,1056,TA,1056,1,1,3,TA,5,0,none,Attchd,Fin,2,572,1,2006,145000,264
20,90.41860465,4403,Somerst,1Story,7,5,2009,MetalSd,MetalSd,Stone,432,PConc,Ex,GLQ,1470,Ex,1478,1,2,2,Gd,7,1,Gd,Attchd,Fin,2,484,6,2010,222000,144
30,56,8960,OldTown,1Story,5,6,1927,WdShing,Wd Shng,None,0,CBlock,TA,Unf,1008,Gd,1028,0,1,2,TA,5,1,Gd,Detchd,Unf,2,360,3,2010,115000,130
60,59,11228,SawyerW,2Story,7,5,1993,VinylSd,VinylSd,None,0,PConc,Gd,BLQ,1080,Ex,2097,0,2,3,Gd,9,1,TA,Attchd,Unf,3,678,12,2008,228000,383
20,73,8899,Gilbert,1Story,7,5,2007,VinylSd,VinylSd,None,0,PConc,Gd,GLQ,1340,Ex,1340,0,2,3,Gd,6,0,none,Attchd,Fin,2,396,8,2007,181134,130
60,74,7844,Sawyer,2Story,6,7,1978,HdBoard,HdBoard,BrkFace,203,CBlock,TA,ALQ,672,TA,1400,0,1,3,TA,6,1,TA,Attchd,Fin,2,440,3,2006,149500,0
70,86,22420,Crawfor,2Story,6,6,1918,Wd Sdng,Stucco,None,0,BrkTil,Gd,BLQ,1370,TA,2624,1,2,4,TA,10,1,Gd,Detchd,Unf,3,864,11,2007,239000,0
50,60,8160,Edwards,1.5Fin,5,6,1940,MetalSd,MetalSd,None,0,BrkTil,TA,ALQ,756,Fa,1134,1,1,3,TA,7,0,none,Detchd,Unf,1,240,4,2007,126000,0
20,65,8450,NAmes,1Story,5,6,1968,VinylSd,VinylSd,None,0,CBlock,TA,BLQ,1056,Ex,1056,1,1,3,TA,6,1,Fa,Attchd,Unf,1,304,7,2010,142000,269
90,78,7060,Mitchel,SFoyer,7,5,1997,VinylSd,VinylSd,BrkFace,200,PConc,Gd,GLQ,1344,Ex,1344,2,2,2,TA,8,0,none,Attchd,Fin,4,784,11,2008,206300,0
20,90.41860465,16635,NWAmes,1Story,6,7,1977,CemntBd,CmentBd,Stone,126,CBlock,Gd,ALQ,1602,Gd,1602,0,2,3,Gd,8,1,TA,Attchd,Fin,2,529,6,2009,215000,240
20,100,21750,Mitchel,1Story,5,5,1954,HdBoard,HdBoard,None,0,CBlock,TA,Unf,988,Ex,988,0,1,2,TA,4,0,none,Attchd,RFn,2,520,2,2008,113000,0
60,80,9200,NoRidge,2Story,8,5,1998,VinylSd,VinylSd,BrkFace,473,PConc,Gd,GLQ,1470,Gd,2630,1,2,4,Gd,8,1,TA,Attchd,Fin,3,696,6,2008,315000,66
20,72,9000,NAmes,1Story,6,5,1956,Wd Sdng,Wd Sdng,BrkFace,74,CBlock,Gd,LwQ,1196,Gd,1196,1,1,2,TA,6,1,Gd,Attchd,RFn,1,297,5,2008,139000,44
60,60,3378,OldTown,2Story,7,8,1946,HdBoard,HdBoard,None,0,CBlock,TA,Unf,651,Gd,1389,0,1,3,TA,6,2,Gd,Detchd,Unf,1,240,9,2009,135000,126
80,90.41860465,12800,SawyerW,SLvl,7,5,1989,Wd Sdng,Wd Sdng,BrkFace,145,PConc,Gd,GLQ,1518,Gd,1644,1,2,2,Gd,5,1,TA,Attchd,Fin,2,569,8,2009,275000,476
20,77,8593,NAmes,1Story,4,6,1957,MetalSd,MetalSd,None,0,CBlock,TA,Rec,907,Ex,907,0,1,3,TA,5,0,none,Detchd,Unf,1,352,7,2008,109008,0
20,64,6762,CollgCr,1Story,7,5,2007,VinylSd,VinylSd,BrkFace,108,PConc,Gd,GLQ,1208,Ex,1208,1,2,2,Gd,6,0,none,Attchd,RFn,2,628,9,2007,195400,159
20,130,11457,Timber,1Story,6,5,1988,HdBoard,HdBoard,None,0,CBlock,Gd,GLQ,1392,TA,1412,1,2,3,Gd,6,1,TA,Attchd,Unf,2,576,3,2009,175000,169
160,21,1680,BrDale,2Story,6,5,1971,HdBoard,HdBoard,BrkFace,232,CBlock,TA,ALQ,483,TA,987,0,1,2,TA,4,0,none,Detchd,Unf,1,264,7,2008,85400,0
50,60,5586,OldTown,1.5Fin,6,7,1920,MetalSd,MetalSd,None,0,BrkTil,TA,Unf,901,Gd,1198,0,1,4,TA,7,0,none,none,none,0,0,9,2008,79900,98
160,24,1920,BrDale,2Story,5,5,1971,HdBoard,HdBoard,BrkFace,376,CBlock,TA,ALQ,765,Ex,1365,1,1,2,TA,6,0,none,Detchd,Unf,2,440,8,2007,122500,276
60,100,10839,Gilbert,2Story,6,5,1997,VinylSd,VinylSd,None,0,PConc,Gd,Unf,926,Ex,1604,0,2,3,TA,7,1,TA,Attchd,Fin,2,470,7,2008,181000,36
180,21,1890,MeadowV,SFoyer,4,7,1972,CemntBd,CmentBd,None,0,CBlock,Gd,ALQ,630,Gd,630,1,1,1,TA,3,0,none,none,none,0,0,6,2008,81000,88
60,43,10667,CollgCr,2Story,7,6,1996,VinylSd,VinylSd,None,0,PConc,Gd,GLQ,799,Ex,1661,1,2,3,Gd,6,1,TA,Attchd,RFn,2,550,4,2009,212000,219
50,40,4400,OldTown,1.5Fin,6,8,1920,Stucco,Stucco,None,0,BrkTil,Fa,Unf,648,TA,1118,0,1,2,TA,6,0,none,Detchd,Unf,2,440,10,2006,116000,0
45,50,6000,BrkSide,1.5Unf,6,7,1926,Wd Sdng,Wd Sdng,None,0,PConc,TA,Unf,884,Gd,904,0,1,2,TA,4,0,none,Detchd,Unf,1,180,1,2009,119000,105
30,40,4280,Crawfor,1Story,5,6,1913,WdShing,Stucco,None,0,PConc,TA,LwQ,440,TA,694,0,1,2,Gd,4,1,Gd,Detchd,Unf,1,352,3,2007,90350,34
50,67,12354,Edwards,1.5Fin,6,8,1920,Wd Sdng,Wd Sdng,None,0,BrkTil,TA,Unf,684,Gd,1196,0,1,3,Gd,7,0,none,Detchd,Unf,2,528,8,2009,110000,46
20,105,15431,NridgHt,1Story,10,5,2008,VinylSd,VinylSd,Stone,200,PConc,Ex,GLQ,3094,Ex,2402,1,2,2,Ex,10,2,Gd,Attchd,Fin,3,672,4,2009,555000,242
90,92,12108,Edwards,1Story,4,4,1955,VinylSd,VinylSd,BrkFace,270,CBlock,TA,ALQ,1440,TA,1440,0,2,4,Fa,8,0,none,none,none,0,0,9,2008,118000,0
50,52,6240,BrkSide,1.5Fin,5,7,1930,MetalSd,MetalSd,None,0,PConc,TA,Unf,1078,TA,1573,0,2,3,TA,8,1,Gd,Detchd,Unf,2,360,6,2008,162900,0
120,53,3922,Blmngtn,1Story,7,5,2006,WdShing,Wd Shng,BrkFace,72,PConc,Ex,Unf,1258,Ex,1258,0,2,2,Gd,6,1,Gd,Attchd,Fin,3,648,6,2007,172500,160
60,70,8750,CollgCr,2Story,7,5,1994,VinylSd,VinylSd,None,0,PConc,Gd,GLQ,915,Ex,1908,1,2,4,Gd,8,1,TA,Attchd,Unf,2,493,7,2008,210000,277
20,73,9855,Edwards,1Story,6,5,1956,Wd Sdng,Wd Sdng,None,0,CBlock,TA,Unf,1436,Fa,1689,0,1,3,TA,7,1,Gd,Attchd,Unf,2,480,11,2009,127500,0
20,137,16492,NAmes,1Story,6,6,1966,BrkFace,Plywood,None,0,CBlock,TA,ALQ,1517,Ex,1888,0,2,2,Gd,6,1,Gd,Attchd,Fin,2,578,6,2010,190000,0
60,90.41860465,11214,Gilbert,2Story,7,5,1998,VinylSd,VinylSd,None,0,PConc,Gd,Unf,930,Gd,1886,0,2,4,Gd,10,1,TA,Attchd,Fin,2,431,7,2006,199900,89
50,50,8600,IDOTRR,1.5Fin,6,6,1937,MetalSd,MetalSd,None,0,BrkTil,TA,Unf,780,TA,1376,0,2,3,TA,7,1,Gd,Detchd,Unf,1,198,6,2006,119500,0
50,50,6000,OldTown,1.5Fin,3,7,1948,MetalSd,MetalSd,None,0,CBlock,TA,ALQ,649,Ex,1183,0,1,2,TA,6,0,none,Detchd,Unf,1,308,6,2007,120000,176
30,70,5684,OldTown,1Story,6,8,1930,Wd Sdng,Wd Sdng,None,0,BrkTil,TA,Unf,813,Ex,813,0,1,2,Gd,5,0,none,Detchd,Unf,1,270,6,2006,110000,113
20,62,70761,ClearCr,1Story,7,5,1975,Plywood,Plywood,None,0,CBlock,Gd,ALQ,1533,TA,1533,1,2,2,Gd,5,2,TA,Attchd,Unf,2,576,12,2006,280000,254
60,90.41860465,9303,Timber,2Story,6,5,1996,VinylSd,VinylSd,BrkFace,42,PConc,Ex,ALQ,872,Ex,1756,1,2,3,TA,7,0,none,Attchd,Fin,2,422,7,2007,204000,266
60,75,9000,Somerst,2Story,8,5,2008,VinylSd,VinylSd,None,0,PConc,Gd,Unf,768,Ex,1590,0,2,3,Gd,6,0,none,Attchd,RFn,2,676,6,2009,210000,30
90,63,9297,Mitchel,1Story,5,5,1976,Plywood,Plywood,None,0,CBlock,TA,ALQ,1728,TA,1728,2,2,4,TA,8,0,none,Detchd,Unf,2,560,7,2006,188000,0
20,80,9600,NWAmes,1Story,7,6,1973,HdBoard,HdBoard,BrkFace,320,CBlock,TA,ALQ,1242,Fa,1242,0,1,3,TA,6,1,TA,Attchd,Unf,2,528,9,2007,175500,0
70,34,4571,OldTown,2Story,5,5,1916,AsbShng,AsbShng,None,0,BrkTil,TA,Unf,624,Fa,1344,0,1,4,TA,7,0,none,Detchd,Unf,3,513,5,2008,98000,96
20,90.18604651,53227,ClearCr,1Story,4,6,1954,Plywood,Plywood,None,0,CBlock,Gd,BLQ,1364,Ex,1663,1,1,2,Gd,6,2,Gd,Attchd,Fin,2,529,3,2008,256000,361
70,90.41860465,5100,OldTown,2Story,8,7,1925,Stucco,Wd Shng,None,0,PConc,TA,Unf,588,Fa,1666,0,1,3,Gd,7,1,Gd,Detchd,Unf,1,228,6,2008,161000,255
50,90.41860465,7015,BrkSide,1.5Fin,5,4,1950,MetalSd,MetalSd,BrkCmn,161,CBlock,TA,LwQ,709,TA,1203,1,1,3,Gd,5,1,TA,Detchd,Unf,1,352,7,2009,110000,248
60,75,8004,Somerst,2Story,8,5,2009,VinylSd,VinylSd,Stone,110,PConc,Gd,GLQ,832,Ex,1935,1,2,3,TA,8,0,none,BuiltIn,Fin,2,552,12,2009,263435,150
70,60,7200,SWISU,2Story,7,9,1936,Wd Sdng,Wd Sdng,None,0,PConc,Gd,ALQ,560,Ex,1135,1,1,3,Gd,6,0,none,Detchd,RFn,2,576,4,2009,155000,256
20,60,8281,Sawyer,1Story,5,5,1965,MetalSd,MetalSd,None,0,CBlock,TA,Rec,864,Gd,864,0,1,3,TA,5,1,Po,Detchd,Unf,1,360,12,2009,62383,236
70,74,11988,Crawfor,2Story,6,7,1934,Stucco,Stucco,None,0,CBlock,TA,LwQ,715,Fa,1660,0,1,3,TA,6,1,Gd,Detchd,Unf,1,240,8,2008,188700,0
20,60,8430,CollgCr,1Story,5,5,1978,HdBoard,HdBoard,BrkFace,136,CBlock,Gd,Rec,1040,TA,1040,0,2,3,TA,5,0,none,none,none,0,0,8,2009,124000,0
120,90.41860465,3072,Blmngtn,1Story,7,5,2004,VinylSd,VinylSd,BrkFace,18,PConc,Gd,Unf,1375,Ex,1414,0,2,2,Gd,6,1,TA,Attchd,Fin,2,398,5,2006,178740,164
20,85,10628,NAmes,1Story,7,5,1970,Plywood,Plywood,None,0,CBlock,TA,GLQ,1277,TA,1277,1,1,2,TA,5,1,Po,Attchd,Unf,2,526,4,2007,167000,176
70,79,9480,NAmes,2Story,5,7,1942,MetalSd,MetalSd,Stone,224,CBlock,TA,LwQ,728,Ex,1644,0,1,3,Gd,7,2,Gd,Attchd,Unf,1,312,6,2007,146500,168
20,98,11428,NridgHt,1Story,8,5,2006,VinylSd,VinylSd,Stone,248,PConc,Gd,Unf,1626,Ex,1634,0,2,3,Gd,7,1,Gd,Attchd,RFn,3,866,5,2007,250000,44
60,76,9291,SawyerW,2Story,6,5,1993,HdBoard,HdBoard,BrkFace,120,PConc,Gd,GLQ,832,Ex,1710,0,2,3,Gd,7,0,none,Attchd,RFn,2,506,6,2008,187000,214
120,90.41860465,6820,StoneBr,1Story,8,5,1985,HdBoard,HdBoard,None,0,PConc,Gd,GLQ,1488,TA,1502,1,1,1,Gd,4,0,none,Attchd,RFn,2,528,6,2010,212000,194
60,92,11952,NWAmes,2Story,7,6,1977,WdShing,Plywood,None,0,CBlock,Gd,Unf,808,TA,1969,0,2,3,TA,8,1,Gd,Attchd,RFn,2,534,11,2007,190000,276
180,35,3675,Edwards,SLvl,6,5,2005,VinylSd,VinylSd,BrkFace,80,PConc,Gd,GLQ,547,Ex,1072,1,1,2,TA,5,0,none,Basment,RFn,2,525,6,2008,148000,28
20,110,14977,NridgHt,1Story,8,5,2006,VinylSd,VinylSd,BrkFace,304,PConc,Ex,GLQ,1976,Ex,1976,1,2,2,Gd,7,1,Ex,Attchd,RFn,3,908,7,2007,440000,313
120,41,5330,StoneBr,1Story,8,5,2000,CemntBd,CmentBd,None,0,PConc,Gd,GLQ,1494,Ex,1652,1,2,2,Ex,6,0,none,Attchd,RFn,2,499,8,2007,251000,144
20,80,8480,Sawyer,1Story,5,6,1963,HdBoard,HdBoard,None,0,CBlock,TA,GLQ,970,TA,970,1,1,2,TA,5,0,none,Detchd,Unf,2,624,7,2007,132500,216
20,75,13125,CollgCr,1Story,6,5,1997,VinylSd,VinylSd,BrkFace,215,PConc,Gd,GLQ,1478,Ex,1493,1,2,3,Gd,7,1,TA,Attchd,Fin,2,508,4,2008,208900,179
60,105,13693,NridgHt,2Story,9,5,2006,VinylSd,VinylSd,BrkFace,772,PConc,Gd,Unf,2153,Ex,2643,0,2,3,Ex,9,1,Gd,BuiltIn,Fin,3,694,3,2007,380000,498
20,79,10637,CollgCr,1Story,8,5,2007,VinylSd,VinylSd,Stone,336,PConc,Ex,GLQ,1705,Ex,1718,1,2,3,Gd,7,1,Gd,Attchd,RFn,3,826,9,2009,297000,252
30,50,5925,OldTown,1Story,4,7,1937,Stucco,Stucco,BrkCmn,435,BrkTil,Fa,Rec,907,TA,1131,0,1,2,TA,7,0,none,Detchd,Unf,2,672,3,2007,89471,72
20,98,16033,NridgHt,1Story,9,5,2004,VinylSd,VinylSd,BrkFace,378,PConc,Ex,GLQ,1833,Ex,1850,1,2,3,Gd,8,1,Gd,Attchd,Fin,3,772,3,2006,326000,631
20,72,11846,NridgHt,1Story,9,5,2003,VinylSd,VinylSd,BrkFace,562,PConc,Ex,GLQ,1792,Ex,1792,1,2,2,Ex,6,1,Gd,Attchd,Fin,3,874,8,2006,374000,255
70,50,2500,OldTown,2Story,7,8,1915,Stucco,Stucco,None,0,PConc,TA,ALQ,910,Ex,1826,1,1,4,Ex,7,1,Gd,Attchd,Unf,1,164,6,2009,155000,0
120,32,4500,Mitchel,1Story,6,5,1998,VinylSd,VinylSd,BrkFace,116,PConc,Ex,GLQ,1216,Ex,1216,1,2,2,TA,5,0,none,Attchd,Unf,2,402,5,2006,164000,125
20,90.41860465,7758,Sawyer,1Story,5,7,1962,HdBoard,Plywood,None,0,CBlock,TA,ALQ,999,Gd,999,1,1,3,Gd,6,0,none,Detchd,Unf,1,264,3,2007,132500,132
20,80,9600,NAmes,1Story,5,7,1950,MetalSd,MetalSd,None,0,CBlock,TA,ALQ,1113,Gd,1113,0,1,3,Gd,5,1,Gd,Attchd,Unf,1,264,7,2009,147000,200
20,79,10289,NAmes,1Story,5,7,1965,MetalSd,MetalSd,BrkFace,168,CBlock,TA,ALQ,1073,TA,1073,1,1,3,TA,6,0,none,Attchd,RFn,2,515,6,2007,156000,0
20,70,12243,NWAmes,1Story,5,6,1971,Plywood,Plywood,None,0,CBlock,Gd,ALQ,1484,Gd,1484,0,2,3,TA,7,1,TA,Attchd,Unf,2,487,2,2007,175000,404
190,60,10800,OldTown,1.5Fin,5,4,1900,Wd Sdng,Wd Sdng,None,0,CBlock,TA,BLQ,954,TA,2414,0,2,3,TA,10,1,Gd,Attchd,Unf,2,520,5,2006,160000,142
180,21,1526,MeadowV,SFoyer,4,8,1970,CemntBd,CmentBd,None,0,CBlock,Gd,GLQ,630,TA,630,1,1,1,Gd,3,0,none,Attchd,Unf,1,286,5,2009,86000,0
160,90.72093023,2665,MeadowV,2Story,5,6,1976,CemntBd,CmentBd,None,0,PConc,Gd,Unf,264,TA,1304,0,1,3,TA,4,1,Gd,BuiltIn,Fin,1,336,6,2008,115000,165
50,79,9490,NAmes,1.5Fin,6,7,1941,Wd Sdng,Wd Sdng,None,0,CBlock,TA,BLQ,806,TA,1578,1,1,3,Fa,5,2,TA,Attchd,Unf,1,240,8,2006,133000,32
60,105,15578,Gilbert,2Story,6,5,2006,VinylSd,VinylSd,None,0,PConc,Gd,Unf,728,Gd,1456,0,2,3,TA,8,0,none,Attchd,RFn,2,429,5,2006,172785,0
20,70,7931,NAmes,1Story,5,6,1960,BrkFace,Wd Sdng,None,0,CBlock,TA,BLQ,1269,TA,1269,0,1,3,TA,6,1,Fa,Detchd,Unf,1,308,6,2008,155000,0
30,50,5784,OldTown,1Story,5,8,1938,MetalSd,MetalSd,None,0,BrkTil,Fa,Unf,190,Gd,886,0,1,2,TA,4,0,none,Attchd,Unf,1,273,12,2009,91300,244
30,60,7879,IDOTRR,1Story,4,5,1920,Wd Sdng,Wd Sdng,None,0,CBlock,TA,Rec,720,TA,720,0,1,2,TA,4,0,none,none,none,0,0,11,2009,34900,638
20,90.41860465,12692,NoRidge,1Story,8,5,1992,BrkFace,BrkFace,None,0,PConc,Gd,GLQ,3200,Ex,3228,1,3,4,Gd,10,1,Gd,Attchd,RFn,2,546,5,2007,430000,630
50,60,9120,BrkSide,1.5Fin,7,6,1925,Wd Sdng,Wd Sdng,None,0,PConc,TA,Rec,1026,Ex,1820,1,2,4,TA,8,0,none,Detchd,Unf,1,240,6,2008,184000,100
20,65,7800,Sawyer,1Story,5,7,1967,HdBoard,HdBoard,BrkFace,89,PConc,TA,ALQ,864,Ex,899,0,1,3,Gd,5,0,none,Attchd,Fin,1,288,6,2009,130000,64
